Name,Link,Artifact Number
"
",https://www.historymuseum.ca/collections/artifact/188983/?q=Ottawa&page_num=1&item_num=184&media_irn=127492,188983
"
",https://www.historymuseum.ca/collections/artifact/1318873/?q=Ottawa&page_num=1&item_num=185&media_irn=3003072,1318873
"
",https://www.historymuseum.ca/collections/artifact/1318857/?q=Ottawa&page_num=1&item_num=186&media_irn=3003060,1318857
"
",https://www.historymuseum.ca/collections/artifact/2132884/?q=Ottawa&page_num=1&item_num=187&media_irn=53064,2132884
"
",https://www.historymuseum.ca/collections/artifact/189573/?q=Ottawa&page_num=1&item_num=188&media_irn=53295,189573
"
",https://www.historymuseum.ca/collections/artifact/101058/?q=Ottawa&page_num=1&item_num=189&media_irn=286624,101058
"
",https://www.historymuseum.ca/collections/artifact/93480/?q=Ottawa&page_num=1&item_num=190&media_irn=5239940,93480
"
",https://www.historymuseum.ca/collections/artifact/1312928/?q=Ottawa&page_num=1&item_num=191&media_irn=1050210,1312928
"
",https://www.historymuseum.ca/collections/artifact/85108/?q=Ottawa&page_num=1&item_num=192&media_irn=317314,85108
"
",https://www.historymuseum.ca/collections/artifact/85107/?q=Ottawa&page_num=1&item_num=193&media_irn=317311,85107
"
",https://www.historymuseum.ca/collections/artifact/85106/?q=Ottawa&page_num=1&item_num=194&media_irn=317308,85106
"
",https://www.historymuseum.ca/collections/artifact/85054/?q=Ottawa&page_num=1&item_num=195&media_irn=317335,85054
"
",https://www.historymuseum.ca/collections/artifact/85052/?q=Ottawa&page_num=1&item_num=196&media_irn=317452,85052
"
",https://www.historymuseum.ca/collections/artifact/76770/?q=Ottawa&page_num=1&item_num=197&media_irn=135685,76770
"
",https://www.historymuseum.ca/collections/artifact/76758/?q=Ottawa&page_num=1&item_num=198&media_irn=135655,76758
"
",https://www.historymuseum.ca/collections/artifact/76756/?q=Ottawa&page_num=1&item_num=199&media_irn=135652,76756
"
",/collections/search-results/?q=Ottawa&per_page=500&view=list&page_num=1,
"
",/collections/search-results/?q=Ottawa&per_page=500&view=list&page_num=2,
"
				Terms & Conditions			",https://www.historymuseum.ca/collections/terms-conditions/,
"
				Disclaimer			",https://www.historymuseum.ca/collections/disclaimer/,
"<svg class=""icon facebook""><use xlink:href=""#facebook""></use></svg>",https://www.facebook.com/CanMusHistory/,
"<svg class=""icon twitter""><use xlink:href=""#twitter""></use></svg>",https://twitter.com/CanMusHistory,
"<svg class=""icon instagram""><use xlink:href=""#instagram""></use></svg>",https://www.instagram.com/canmushistory/,
Privacy Notice,https://www.historymuseum.ca/about/privacy-statement/,
Copyright,https://www.historymuseum.ca/about/copyright-and-permissions/,
